sku,inRoqResult,isApendSku,inTip,inForecastNational,inVendorData
2338039,Y,N,Y,Y,Y
2346102,Y,N,Y,Y,Y
2346553,Y,N,Y,Y,Y
316028,N,N,N,Y,N
399496,N,N,N,Y,N
125850,N,N,N,Y,N
143832,N,N,N,Y,N
1876494,Y,N,Y,Y,Y
2128655,N,N,N,Y,N
2214749,N,N,N,Y,N
2248049,N,N,N,Y,N
2302183,Y,N,Y,Y,Y
369030,Y,N,Y,Y,Y
369148,N,N,N,Y,N
399497,N,N,N,Y,N
532641,N,N,N,Y,N
54987,Y,N,Y,Y,Y
77144,N,N,N,Y,N
125851,N,N,N,Y,N
155911,Y,N,Y,Y,Y
1939756,N,N,N,Y,N
2120249,N,N,N,Y,N
2228330,N,N,N,Y,N
2341811,N,N,N,Y,N
2345664,Y,N,Y,Y,Y
2346555,Y,N,Y,Y,Y
2349228,Y,N,Y,Y,Y
318307,N,N,N,Y,N
319531,N,N,N,N,N
354398,N,N,N,Y,N
356224,N,N,N,Y,N
360841,N,N,N,Y,N
399498,N,N,N,Y,N
545729,Y,N,Y,Y,Y
77145,N,N,N,Y,N
77596,N,N,N,Y,N
1746850,N,N,N,Y,N
1777801,N,N,N,Y,N
1803937,N,N,N,Y,N
1899761,Y,N,Y,Y,Y
2165683,Y,N,Y,Y,Y
2205228,Y,N,Y,Y,Y
2228331,N,N,N,Y,N
2262018,Y,N,Y,Y,Y
2317882,N,N,N,Y,N
2341812,N,N,N,Y,N
2348671,Y,N,Y,Y,Y
360798,Y,N,Y,Y,Y
37447,N,N,N,Y,N
454848,N,N,N,Y,N
602988,N,N,N,Y,N
658824,N,N,N,Y,N
108429,Y,N,Y,Y,Y
1721191,N,N,N,N,N
2191847,Y,N,Y,Y,Y
2331850,N,N,N,Y,N
2341813,Y,N,Y,Y,Y
2346395,Y,N,Y,Y,Y
379898,N,N,N,Y,N
462750,N,N,N,Y,N
532644,N,N,N,Y,N
602989,N,N,N,Y,N
658825,N,N,N,Y,N
115602,Y,N,Y,Y,Y
1818861,Y,N,Y,Y,Y
2228333,N,N,N,Y,N
2349069,Y,N,Y,Y,Y
379899,N,N,N,Y,N
467206,Y,N,Y,Y,Y
514825,Y,N,Y,Y,Y
532645,N,N,N,Y,N
637063,N,N,N,Y,N
658826,N,N,N,Y,N
151405,Y,N,Y,Y,Y
2088664,Y,N,Y,Y,Y
2175531,Y,N,Y,Y,Y
2308975,Y,N,Y,Y,Y
2340267,Y,N,Y,Y,Y
2341491,N,N,N,Y,N
2346892,Y,N,Y,Y,Y
37332,N,N,N,Y,N
658827,N,N,N,Y,N
97859,N,N,N,Y,N
1747583,Y,N,Y,Y,Y
2148640,Y,N,Y,Y,Y
2331691,N,N,N,Y,N
2335750,Y,N,Y,Y,Y
2347946,Y,N,Y,Y,Y
2348675,N,N,N,Y,N
300888,N,N,N,Y,N
569115,Y,N,Y,Y,Y
658828,N,N,N,Y,N
125857,N,N,N,Y,N
149851,N,N,N,Y,N
1662812,Y,N,Y,Y,Y
1912364,Y,N,Y,Y,Y
2212856,Y,N,Y,Y,Y
2217806,N,N,N,Y,N
2335751,Y,N,Y,Y,Y
523125,N,N,N,Y,N
75369,Y,N,Y,Y,Y
149852,N,N,N,Y,N
2028591,N,N,N,Y,N
2217807,N,N,N,Y,N
2240360,Y,N,Y,Y,Y
2344824,Y,N,Y,Y,Y
2349450,Y,N,Y,Y,Y
307504,N,N,N,Y,N
532649,N,N,N,Y,N
639795,Y,N,Y,Y,Y
149853,N,N,N,Y,N
1671111,N,N,N,Y,N
1869301,Y,N,Y,Y,Y
2017116,N,N,N,Y,N
2036160,Y,N,Y,Y,Y
304670,N,N,N,Y,N
316091,N,N,N,Y,N
394806,N,N,N,Y,N
657660,N,N,N,Y,N
67847,N,N,N,Y,N
110045,N,N,N,Y,N
133761,N,N,N,Y,N
1671112,N,N,N,Y,N
2201554,Y,N,Y,Y,Y
2347788,Y,N,Y,Y,Y
322158,N,N,N,Y,N
342417,Y,N,Y,Y,Y
110046,N,N,N,Y,N
133762,N,N,N,Y,N
149855,N,N,N,Y,N
1671113,N,N,N,Y,N
2219925,Y,N,Y,Y,Y
2260127,N,N,N,Y,N
2297208,Y,N,Y,Y,Y
2347789,Y,N,Y,Y,Y
442048,N,N,N,Y,N
602761,Y,N,Y,Y,Y
103414,N,N,N,Y,N
126022,N,N,N,Y,N
1671114,N,N,N,Y,N
2296651,Y,N,Y,Y,Y
2330850,N,N,N,Y,N
2343162,N,N,N,Y,N
58660,N,N,N,Y,N
1668830,N,N,N,Y,N
1671115,N,N,N,Y,N
2263630,Y,N,Y,Y,Y
2321941,Y,N,Y,Y,Y
2331247,N,N,N,Y,N
2343776,Y,N,Y,Y,Y
315979,N,N,N,Y,N
342302,N,N,N,Y,N
360735,Y,N,Y,Y,Y
522573,Y,N,Y,Y,Y
563325,Y,N,Y,Y,Y
81043,N,N,N,Y,N
126024,N,N,N,Y,N
141171,Y,N,Y,Y,Y
1671116,N,N,N,Y,N
